Sex,Age,Region,Frequency,TIME_PERIOD,OVALUE
Persons,10-14,South Australia,Quarterly,2022-Q2,108716
Persons,10-14,South Australia,Quarterly,2022-Q3,108945
Persons,10-14,South Australia,Quarterly,2022-Q4,109096
Persons,10-14,South Australia,Quarterly,2023-Q1,109394
Persons,10-14,South Australia,Quarterly,2023-Q2,109660
Persons,10-14,South Australia,Quarterly,2023-Q3,109860
Persons,10-14,South Australia,Quarterly,2023-Q4,110036
Persons,10-14,Tasmania,Quarterly,2014-Q1,31136
Persons,10-14,Tasmania,Quarterly,2014-Q2,30991
Persons,10-14,Tasmania,Quarterly,2014-Q3,30870
Persons,10-14,Tasmania,Quarterly,2014-Q4,30800
Persons,10-14,Tasmania,Quarterly,2015-Q1,30723
Persons,10-14,Tasmania,Quarterly,2015-Q2,30641
Persons,10-14,Tasmania,Quarterly,2015-Q3,30684
Persons,10-14,Tasmania,Quarterly,2015-Q4,30646
Persons,10-14,Tasmania,Quarterly,2016-Q1,30677
Persons,10-14,Tasmania,Quarterly,2016-Q2,30691
Persons,10-14,Tasmania,Quarterly,2016-Q3,30821
Persons,10-14,Tasmania,Quarterly,2016-Q4,31017
Persons,10-14,Tasmania,Quarterly,2017-Q1,31194
Persons,10-14,Tasmania,Quarterly,2017-Q2,31320
Persons,10-14,Tasmania,Quarterly,2017-Q3,31608
Persons,10-14,Tasmania,Quarterly,2017-Q4,31780
Persons,10-14,Tasmania,Quarterly,2018-Q1,32053
Persons,10-14,Tasmania,Quarterly,2018-Q2,32297
Persons,10-14,Tasmania,Quarterly,2018-Q3,32534
Persons,10-14,Tasmania,Quarterly,2018-Q4,32811
Persons,10-14,Tasmania,Quarterly,2019-Q1,33117
Persons,10-14,Tasmania,Quarterly,2019-Q2,33392
Persons,10-14,Tasmania,Quarterly,2019-Q3,33522
Persons,10-14,Tasmania,Quarterly,2019-Q4,33680
Persons,10-14,Tasmania,Quarterly,2020-Q1,33810
Persons,10-14,Tasmania,Quarterly,2020-Q2,33939
Persons,10-14,Tasmania,Quarterly,2020-Q3,34015
Persons,10-14,Tasmania,Quarterly,2020-Q4,34091
Persons,10-14,Tasmania,Quarterly,2021-Q1,34186
Persons,10-14,Tasmania,Quarterly,2021-Q2,34269
Persons,10-14,Tasmania,Quarterly,2021-Q3,34152
Persons,10-14,Tasmania,Quarterly,2021-Q4,34062
Persons,10-14,Tasmania,Quarterly,2022-Q1,34020
Persons,10-14,Tasmania,Quarterly,2022-Q2,33949
Persons,10-14,Tasmania,Quarterly,2022-Q3,33885
Persons,10-14,Tasmania,Quarterly,2022-Q4,33764
Persons,10-14,Tasmania,Quarterly,2023-Q1,33672
Persons,10-14,Tasmania,Quarterly,2023-Q2,33588
Persons,10-14,Tasmania,Quarterly,2023-Q3,33482
Persons,10-14,Tasmania,Quarterly,2023-Q4,33344
Males,10-14,Tasmania,Quarterly,2014-Q1,16098
Males,10-14,Tasmania,Quarterly,2014-Q2,16033
Males,10-14,Tasmania,Quarterly,2014-Q3,15973
Males,10-14,Tasmania,Quarterly,2014-Q4,15941
Males,10-14,Tasmania,Quarterly,2015-Q1,15900
Males,10-14,Tasmania,Quarterly,2015-Q2,15848
Males,10-14,Tasmania,Quarterly,2015-Q3,15872
Males,10-14,Tasmania,Quarterly,2015-Q4,15841
Males,10-14,Tasmania,Quarterly,2016-Q1,15863
Males,10-14,Tasmania,Quarterly,2016-Q2,15874
Males,10-14,Tasmania,Quarterly,2016-Q3,15949
Males,10-14,Tasmania,Quarterly,2016-Q4,16040
Males,10-14,Tasmania,Quarterly,2017-Q1,16121
Males,10-14,Tasmania,Quarterly,2017-Q2,16183
Males,10-14,Tasmania,Quarterly,2017-Q3,16344
Males,10-14,Tasmania,Quarterly,2017-Q4,16436
Males,10-14,Tasmania,Quarterly,2018-Q1,16587
Males,10-14,Tasmania,Quarterly,2018-Q2,16725
Males,10-14,Tasmania,Quarterly,2018-Q3,16829
Males,10-14,Tasmania,Quarterly,2018-Q4,16968
Males,10-14,Tasmania,Quarterly,2019-Q1,17128
Males,10-14,Tasmania,Quarterly,2019-Q2,17255
Males,10-14,Tasmania,Quarterly,2019-Q3,17341
Males,10-14,Tasmania,Quarterly,2019-Q4,17433
Males,10-14,Tasmania,Quarterly,2020-Q1,17491
Males,10-14,Tasmania,Quarterly,2020-Q2,17572
Males,10-14,Tasmania,Quarterly,2020-Q3,17614
Males,10-14,Tasmania,Quarterly,2020-Q4,17662
Males,10-14,Tasmania,Quarterly,2021-Q1,17716
Males,10-14,Tasmania,Quarterly,2021-Q2,17761
Males,10-14,Tasmania,Quarterly,2021-Q3,17685
Males,10-14,Tasmania,Quarterly,2021-Q4,17644
Males,10-14,Tasmania,Quarterly,2022-Q1,17614
Males,10-14,Tasmania,Quarterly,2022-Q2,17574
Males,10-14,Tasmania,Quarterly,2022-Q3,17524
Males,10-14,Tasmania,Quarterly,2022-Q4,17471
Males,10-14,Tasmania,Quarterly,2023-Q1,17413
Males,10-14,Tasmania,Quarterly,2023-Q2,17349
Males,10-14,Tasmania,Quarterly,2023-Q3,17300
Males,10-14,Tasmania,Quarterly,2023-Q4,17205
Females,10-14,Tasmania,Quarterly,2014-Q1,15038
Females,10-14,Tasmania,Quarterly,2014-Q2,14958
Females,10-14,Tasmania,Quarterly,2014-Q3,14897
Females,10-14,Tasmania,Quarterly,2014-Q4,14859
Females,10-14,Tasmania,Quarterly,2015-Q1,14823
Females,10-14,Tasmania,Quarterly,2015-Q2,14793
Females,10-14,Tasmania,Quarterly,2015-Q3,14812
Females,10-14,Tasmania,Quarterly,2015-Q4,14805
Females,10-14,Tasmania,Quarterly,2016-Q1,14814
Females,10-14,Tasmania,Quarterly,2016-Q2,14817
Females,10-14,Tasmania,Quarterly,2016-Q3,14872
Females,10-14,Tasmania,Quarterly,2016-Q4,14977
Females,10-14,Tasmania,Quarterly,2017-Q1,15073
Females,10-14,Tasmania,Quarterly,2017-Q2,15137
Females,10-14,Tasmania,Quarterly,2017-Q3,15264
Females,10-14,Tasmania,Quarterly,2017-Q4,15344
Females,10-14,Tasmania,Quarterly,2018-Q1,15466
Females,10-14,Tasmania,Quarterly,2018-Q2,15572
Females,10-14,Tasmania,Quarterly,2018-Q3,15705
Females,10-14,Tasmania,Quarterly,2018-Q4,15843
Females,10-14,Tasmania,Quarterly,2019-Q1,15989
Females,10-14,Tasmania,Quarterly,2019-Q2,16137
Females,10-14,Tasmania,Quarterly,2019-Q3,16181
Females,10-14,Tasmania,Quarterly,2019-Q4,16247
Females,10-14,Tasmania,Quarterly,2020-Q1,16319
Females,10-14,Tasmania,Quarterly,2020-Q2,16367
Females,10-14,Tasmania,Quarterly,2020-Q3,16401
Females,10-14,Tasmania,Quarterly,2020-Q4,16429
Females,10-14,Tasmania,Quarterly,2021-Q1,16470
Females,10-14,Tasmania,Quarterly,2021-Q2,16508
Females,10-14,Tasmania,Quarterly,2021-Q3,16467
Females,10-14,Tasmania,Quarterly,2021-Q4,16418
Females,10-14,Tasmania,Quarterly,2022-Q1,16406
Females,10-14,Tasmania,Quarterly,2022-Q2,16375
Females,10-14,Tasmania,Quarterly,2022-Q3,16361
Females,10-14,Tasmania,Quarterly,2022-Q4,16293
Females,10-14,Tasmania,Quarterly,2023-Q1,16259
Females,10-14,Tasmania,Quarterly,2023-Q2,16239
Females,10-14,Tasmania,Quarterly,2023-Q3,16182
Females,10-14,Tasmania,Quarterly,2023-Q4,16139
Persons,10-14,Victoria,Quarterly,2014-Q1,337887
Persons,10-14,Victoria,Quarterly,2014-Q2,338709
Persons,10-14,Victoria,Quarterly,2014-Q3,339867
Persons,10-14,Victoria,Quarterly,2014-Q4,340869
Persons,10-14,Victoria,Quarterly,2015-Q1,342118
Persons,10-14,Victoria,Quarterly,2015-Q2,343096
Persons,10-14,Victoria,Quarterly,2015-Q3,345328
Persons,10-14,Victoria,Quarterly,2015-Q4,347379
Persons,10-14,Victoria,Quarterly,2016-Q1,349478
Persons,10-14,Victoria,Quarterly,2016-Q2,351523
Persons,10-14,Victoria,Quarterly,2016-Q3,354542
Persons,10-14,Victoria,Quarterly,2016-Q4,357367
Persons,10-14,Victoria,Quarterly,2017-Q1,360424
Persons,10-14,Victoria,Quarterly,2017-Q2,363154
Persons,10-14,Victoria,Quarterly,2017-Q3,366115
Persons,10-14,Victoria,Quarterly,2017-Q4,368829
Persons,10-14,Victoria,Quarterly,2018-Q1,371762
Persons,10-14,Victoria,Quarterly,2018-Q2,374342
Persons,10-14,Victoria,Quarterly,2018-Q3,377256
Persons,10-14,Victoria,Quarterly,2018-Q4,379892
Persons,10-14,Victoria,Quarterly,2019-Q1,382729
Persons,10-14,Victoria,Quarterly,2019-Q2,385144
Persons,10-14,Victoria,Quarterly,2019-Q3,388032
Persons,10-14,Victoria,Quarterly,2019-Q4,390883
Persons,10-14,Victoria,Quarterly,2020-Q1,393820
Persons,10-14,Victoria,Quarterly,2020-Q2,395698
Persons,10-14,Victoria,Quarterly,2020-Q3,396253
Persons,10-14,Victoria,Quarterly,2020-Q4,396849
Persons,10-14,Victoria,Quarterly,2021-Q1,397658
Persons,10-14,Victoria,Quarterly,2021-Q2,398432
Persons,10-14,Victoria,Quarterly,2021-Q3,398861
Persons,10-14,Victoria,Quarterly,2021-Q4,399719
Persons,10-14,Victoria,Quarterly,2022-Q1,400985
Persons,10-14,Victoria,Quarterly,2022-Q2,402378
Persons,10-14,Victoria,Quarterly,2022-Q3,404133
Persons,10-14,Victoria,Quarterly,2022-Q4,405881
Persons,10-14,Victoria,Quarterly,2023-Q1,407878
Persons,10-14,Victoria,Quarterly,2023-Q2,409826
Persons,10-14,Victoria,Quarterly,2023-Q3,411654
Persons,10-14,Victoria,Quarterly,2023-Q4,413216
Females,10-14,Victoria,Quarterly,2014-Q1,164906
Females,10-14,Victoria,Quarterly,2014-Q2,165279
Females,10-14,Victoria,Quarterly,2014-Q3,165681
Females,10-14,Victoria,Quarterly,2014-Q4,166087
Females,10-14,Victoria,Quarterly,2015-Q1,166546
Females,10-14,Victoria,Quarterly,2015-Q2,166878
Females,10-14,Victoria,Quarterly,2015-Q3,167938
Females,10-14,Victoria,Quarterly,2015-Q4,168971
Females,10-14,Victoria,Quarterly,2016-Q1,170019
Females,10-14,Victoria,Quarterly,2016-Q2,171018
Females,10-14,Victoria,Quarterly,2016-Q3,172390
Females,10-14,Victoria,Quarterly,2016-Q4,173672
Females,10-14,Victoria,Quarterly,2017-Q1,175109
Females,10-14,Victoria,Quarterly,2017-Q2,176387
Females,10-14,Victoria,Quarterly,2017-Q3,177799
Females,10-14,Victoria,Quarterly,2017-Q4,179067
Females,10-14,Victoria,Quarterly,2018-Q1,180477
Females,10-14,Victoria,Quarterly,2018-Q2,181696
Females,10-14,Victoria,Quarterly,2018-Q3,183121
Females,10-14,Victoria,Quarterly,2018-Q4,184453
Females,10-14,Victoria,Quarterly,2019-Q1,185807
Females,10-14,Victoria,Quarterly,2019-Q2,186987
Females,10-14,Victoria,Quarterly,2019-Q3,188483
Females,10-14,Victoria,Quarterly,2019-Q4,189965
Females,10-14,Victoria,Quarterly,2020-Q1,191473
Females,10-14,Victoria,Quarterly,2020-Q2,192458
Females,10-14,Victoria,Quarterly,2020-Q3,192717
Females,10-14,Victoria,Quarterly,2020-Q4,192996
Females,10-14,Victoria,Quarterly,2021-Q1,193369
Females,10-14,Victoria,Quarterly,2021-Q2,193745
Females,10-14,Victoria,Quarterly,2021-Q3,194032
Females,10-14,Victoria,Quarterly,2021-Q4,194520
Females,10-14,Victoria,Quarterly,2022-Q1,195191
Females,10-14,Victoria,Quarterly,2022-Q2,195953
Females,10-14,Victoria,Quarterly,2022-Q3,196842
Females,10-14,Victoria,Quarterly,2022-Q4,197659
Females,10-14,Victoria,Quarterly,2023-Q1,198593
Females,10-14,Victoria,Quarterly,2023-Q2,199566
Females,10-14,Victoria,Quarterly,2023-Q3,200480
Females,10-14,Victoria,Quarterly,2023-Q4,201218
Males,10-14,Victoria,Quarterly,2014-Q1,172981
Males,10-14,Victoria,Quarterly,2014-Q2,173430
Males,10-14,Victoria,Quarterly,2014-Q3,174186
Males,10-14,Victoria,Quarterly,2014-Q4,174782
Males,10-14,Victoria,Quarterly,2015-Q1,175572
Males,10-14,Victoria,Quarterly,2015-Q2,176218
Males,10-14,Victoria,Quarterly,2015-Q3,177390
Males,10-14,Victoria,Quarterly,2015-Q4,178408
Males,10-14,Victoria,Quarterly,2016-Q1,179459
Males,10-14,Victoria,Quarterly,2016-Q2,180505
Males,10-14,Victoria,Quarterly,2016-Q3,182152
Males,10-14,Victoria,Quarterly,2016-Q4,183695
Males,10-14,Victoria,Quarterly,2017-Q1,185315
Males,10-14,Victoria,Quarterly,2017-Q2,186767
Males,10-14,Victoria,Quarterly,2017-Q3,188316
Males,10-14,Victoria,Quarterly,2017-Q4,189762
Males,10-14,Victoria,Quarterly,2018-Q1,191285
Males,10-14,Victoria,Quarterly,2018-Q2,192646
Males,10-14,Victoria,Quarterly,2018-Q3,194135
Males,10-14,Victoria,Quarterly,2018-Q4,195439
Males,10-14,Victoria,Quarterly,2019-Q1,196922
Males,10-14,Victoria,Quarterly,2019-Q2,198157
Males,10-14,Victoria,Quarterly,2019-Q3,199549
Males,10-14,Victoria,Quarterly,2019-Q4,200918
Males,10-14,Victoria,Quarterly,2020-Q1,202347
Males,10-14,Victoria,Quarterly,2020-Q2,203240
Males,10-14,Victoria,Quarterly,2020-Q3,203536
Males,10-14,Victoria,Quarterly,2020-Q4,203853
Males,10-14,Victoria,Quarterly,2021-Q1,204289
Males,10-14,Victoria,Quarterly,2021-Q2,204687
Males,10-14,Victoria,Quarterly,2021-Q3,204829
Males,10-14,Victoria,Quarterly,2021-Q4,205199
Males,10-14,Victoria,Quarterly,2022-Q1,205794
Males,10-14,Victoria,Quarterly,2022-Q2,206425
Males,10-14,Victoria,Quarterly,2022-Q3,207291
Males,10-14,Victoria,Quarterly,2022-Q4,208222
Males,10-14,Victoria,Quarterly,2023-Q1,209285
Males,10-14,Victoria,Quarterly,2023-Q2,210260
Males,10-14,Victoria,Quarterly,2023-Q3,211174
Males,10-14,Victoria,Quarterly,2023-Q4,211998
Males,10-14,Western Australia,Quarterly,2014-Q1,76956
Males,10-14,Western Australia,Quarterly,2014-Q2,76986
Males,10-14,Western Australia,Quarterly,2014-Q3,77129
Males,10-14,Western Australia,Quarterly,2014-Q4,77270
Males,10-14,Western Australia,Quarterly,2015-Q1,77396
Males,10-14,Western Australia,Quarterly,2015-Q2,77510
Males,10-14,Western Australia,Quarterly,2015-Q3,77692
Males,10-14,Western Australia,Quarterly,2015-Q4,77850
Males,10-14,Western Australia,Quarterly,2016-Q1,78145
Males,10-14,Western Australia,Quarterly,2016-Q2,78394
Males,10-14,Western Australia,Quarterly,2016-Q3,79044
Males,10-14,Western Australia,Quarterly,2016-Q4,79629
Males,10-14,Western Australia,Quarterly,2017-Q1,80383
Males,10-14,Western Australia,Quarterly,2017-Q2,81120
Males,10-14,Western Australia,Quarterly,2017-Q3,81930
Males,10-14,Western Australia,Quarterly,2017-Q4,82674
Males,10-14,Western Australia,Quarterly,2018-Q1,83502
Males,10-14,Western Australia,Quarterly,2018-Q2,84339
Males,10-14,Western Australia,Quarterly,2018-Q3,85002
Males,10-14,Western Australia,Quarterly,2018-Q4,85637
Males,10-14,Western Australia,Quarterly,2019-Q1,86410
Males,10-14,Western Australia,Quarterly,2019-Q2,87103
Males,10-14,Western Australia,Quarterly,2019-Q3,87807
Males,10-14,Western Australia,Quarterly,2019-Q4,88522
Males,10-14,Western Australia,Quarterly,2020-Q1,89326
Males,10-14,Western Australia,Quarterly,2020-Q2,89977
Males,10-14,Western Australia,Quarterly,2020-Q3,90499
Males,10-14,Western Australia,Quarterly,2020-Q4,91081
Males,10-14,Western Australia,Quarterly,2021-Q1,91660
Males,10-14,Western Australia,Quarterly,2021-Q2,92240
Males,10-14,Western Australia,Quarterly,2021-Q3,92317
Males,10-14,Western Australia,Quarterly,2021-Q4,92436
Males,10-14,Western Australia,Quarterly,2022-Q1,92668
Males,10-14,Western Australia,Quarterly,2022-Q2,92950
Males,10-14,Western Australia,Quarterly,2022-Q3,93246
Males,10-14,Western Australia,Quarterly,2022-Q4,93611
Males,10-14,Western Australia,Quarterly,2023-Q1,94037
Males,10-14,Western Australia,Quarterly,2023-Q2,94383
Males,10-14,Western Australia,Quarterly,2023-Q3,94763
Males,10-14,Western Australia,Quarterly,2023-Q4,95239
Females,10-14,Western Australia,Quarterly,2014-Q1,74198
Females,10-14,Western Australia,Quarterly,2014-Q2,74185
Females,10-14,Western Australia,Quarterly,2014-Q3,74164
Females,10-14,Western Australia,Quarterly,2014-Q4,74080
Females,10-14,Western Australia,Quarterly,2015-Q1,74112
Females,10-14,Western Australia,Quarterly,2015-Q2,74146
Females,10-14,Western Australia,Quarterly,2015-Q3,74365
Females,10-14,Western Australia,Quarterly,2015-Q4,74521
Females,10-14,Western Australia,Quarterly,2016-Q1,74803
Females,10-14,Western Australia,Quarterly,2016-Q2,74986
Females,10-14,Western Australia,Quarterly,2016-Q3,75568
Females,10-14,Western Australia,Quarterly,2016-Q4,76047
Females,10-14,Western Australia,Quarterly,2017-Q1,76690
Females,10-14,Western Australia,Quarterly,2017-Q2,77286
Females,10-14,Western Australia,Quarterly,2017-Q3,77930
Females,10-14,Western Australia,Quarterly,2017-Q4,78533
Females,10-14,Western Australia,Quarterly,2018-Q1,79225
Females,10-14,Western Australia,Quarterly,2018-Q2,79941
Females,10-14,Western Australia,Quarterly,2018-Q3,80544
Females,10-14,Western Australia,Quarterly,2018-Q4,81040
Females,10-14,Western Australia,Quarterly,2019-Q1,81727
Females,10-14,Western Australia,Quarterly,2019-Q2,82269
Females,10-14,Western Australia,Quarterly,2019-Q3,82937
Females,10-14,Western Australia,Quarterly,2019-Q4,83612
Females,10-14,Western Australia,Quarterly,2020-Q1,84411
Females,10-14,Western Australia,Quarterly,2020-Q2,85038
Females,10-14,Western Australia,Quarterly,2020-Q3,85456
Females,10-14,Western Australia,Quarterly,2020-Q4,85941
Females,10-14,Western Australia,Quarterly,2021-Q1,86428
Females,10-14,Western Australia,Quarterly,2021-Q2,86908
Females,10-14,Western Australia,Quarterly,2021-Q3,87053
Females,10-14,Western Australia,Quarterly,2021-Q4,87219
Females,10-14,Western Australia,Quarterly,2022-Q1,87512
Females,10-14,Western Australia,Quarterly,2022-Q2,87820
Females,10-14,Western Australia,Quarterly,2022-Q3,88085
Females,10-14,Western Australia,Quarterly,2022-Q4,88528
Females,10-14,Western Australia,Quarterly,2023-Q1,88988
Females,10-14,Western Australia,Quarterly,2023-Q2,89310
Females,10-14,Western Australia,Quarterly,2023-Q3,89803
Females,10-14,Western Australia,Quarterly,2023-Q4,90386
Persons,10-14,Western Australia,Quarterly,2014-Q1,151154
Persons,10-14,Western Australia,Quarterly,2014-Q2,151171
Persons,10-14,Western Australia,Quarterly,2014-Q3,151293
Persons,10-14,Western Australia,Quarterly,2014-Q4,151350
Persons,10-14,Western Australia,Quarterly,2015-Q1,151508
Persons,10-14,Western Australia,Quarterly,2015-Q2,151656
Persons,10-14,Western Australia,Quarterly,2015-Q3,152057
Persons,10-14,Western Australia,Quarterly,2015-Q4,152371
Persons,10-14,Western Australia,Quarterly,2016-Q1,152948
Persons,10-14,Western Australia,Quarterly,2016-Q2,153380
Persons,10-14,Western Australia,Quarterly,2016-Q3,154612
Persons,10-14,Western Australia,Quarterly,2016-Q4,155676
Persons,10-14,Western Australia,Quarterly,2017-Q1,157073
Persons,10-14,Western Australia,Quarterly,2017-Q2,158406
Persons,10-14,Western Australia,Quarterly,2017-Q3,159860
Persons,10-14,Western Australia,Quarterly,2017-Q4,161207
Persons,10-14,Western Australia,Quarterly,2018-Q1,162727
Persons,10-14,Western Australia,Quarterly,2018-Q2,164280
Persons,10-14,Western Australia,Quarterly,2018-Q3,165546
Persons,10-14,Western Australia,Quarterly,2018-Q4,166677
Persons,10-14,Western Australia,Quarterly,2019-Q1,168137
Persons,10-14,Western Australia,Quarterly,2019-Q2,169372
Persons,10-14,Western Australia,Quarterly,2019-Q3,170744
Persons,10-14,Western Australia,Quarterly,2019-Q4,172134
Persons,10-14,Western Australia,Quarterly,2020-Q1,173737
Persons,10-14,Western Australia,Quarterly,2020-Q2,175015
Persons,10-14,Western Australia,Quarterly,2020-Q3,175955
Persons,10-14,Western Australia,Quarterly,2020-Q4,177022
Persons,10-14,Western Australia,Quarterly,2021-Q1,178088
Persons,10-14,Western Australia,Quarterly,2021-Q2,179148
Persons,10-14,Western Australia,Quarterly,2021-Q3,179370
Persons,10-14,Western Australia,Quarterly,2021-Q4,179655
Persons,10-14,Western Australia,Quarterly,2022-Q1,180180
Persons,10-14,Western Australia,Quarterly,2022-Q2,180770
Persons,10-14,Western Australia,Quarterly,2022-Q3,181331
Persons,10-14,Western Australia,Quarterly,2022-Q4,182139
Persons,10-14,Western Australia,Quarterly,2023-Q1,183025
Persons,10-14,Western Australia,Quarterly,2023-Q2,183693
Persons,10-14,Western Australia,Quarterly,2023-Q3,184566
Persons,10-14,Western Australia,Quarterly,2023-Q4,185625
Persons,15-19,Australia,Quarterly,2014-Q1,1473706
Persons,15-19,Australia,Quarterly,2014-Q2,1470709
Persons,15-19,Australia,Quarterly,2014-Q3,1473227
Persons,15-19,Australia,Quarterly,2014-Q4,1470397
Persons,15-19,Australia,Quarterly,2015-Q1,1474348
Persons,15-19,Australia,Quarterly,2015-Q2,1469856
Persons,15-19,Australia,Quarterly,2015-Q3,1473593
Persons,15-19,Australia,Quarterly,2015-Q4,1471754
Persons,15-19,Australia,Quarterly,2016-Q1,1478078
Persons,15-19,Australia,Quarterly,2016-Q2,1475154
Persons,15-19,Australia,Quarterly,2016-Q3,1479547
Persons,15-19,Australia,Quarterly,2016-Q4,1477610
Persons,15-19,Australia,Quarterly,2017-Q1,1485087
Persons,15-19,Australia,Quarterly,2017-Q2,1481543
Persons,15-19,Australia,Quarterly,2017-Q3,1485892
Persons,15-19,Australia,Quarterly,2017-Q4,1482114
Persons,15-19,Australia,Quarterly,2018-Q1,1490547
Persons,15-19,Australia,Quarterly,2018-Q2,1488296
Persons,15-19,Australia,Quarterly,2018-Q3,1493690
Persons,15-19,Australia,Quarterly,2018-Q4,1491829
Persons,15-19,Australia,Quarterly,2019-Q1,1499778
Persons,15-19,Australia,Quarterly,2019-Q2,1494826
Persons,15-19,Australia,Quarterly,2019-Q3,1496807
Persons,15-19,Australia,Quarterly,2019-Q4,1489899
Persons,15-19,Australia,Quarterly,2020-Q1,1494357
Persons,15-19,Australia,Quarterly,2020-Q2,1486431
Persons,15-19,Australia,Quarterly,2020-Q3,1482463
Persons,15-19,Australia,Quarterly,2020-Q4,1478763
Persons,15-19,Australia,Quarterly,2021-Q1,1478975
Persons,15-19,Australia,Quarterly,2021-Q2,1479212
Persons,15-19,Australia,Quarterly,2021-Q3,1486181
Persons,15-19,Australia,Quarterly,2021-Q4,1497470
Persons,15-19,Australia,Quarterly,2022-Q1,1520587
Persons,15-19,Australia,Quarterly,2022-Q2,1533827
Persons,15-19,Australia,Quarterly,2022-Q3,1554273
Persons,15-19,Australia,Quarterly,2022-Q4,1569064
Persons,15-19,Australia,Quarterly,2023-Q1,1594661
Persons,15-19,Australia,Quarterly,2023-Q2,1608467
Persons,15-19,Australia,Quarterly,2023-Q3,1627920
Persons,15-19,Australia,Quarterly,2023-Q4,1637241
Males,15-19,Australia,Quarterly,2014-Q1,755756
Males,15-19,Australia,Quarterly,2014-Q2,754389
Males,15-19,Australia,Quarterly,2014-Q3,755287
Males,15-19,Australia,Quarterly,2014-Q4,753637
Males,15-19,Australia,Quarterly,2015-Q1,755054
Males,15-19,Australia,Quarterly,2015-Q2,752497
Males,15-19,Australia,Quarterly,2015-Q3,754397
Males,15-19,Australia,Quarterly,2015-Q4,753645
Males,15-19,Australia,Quarterly,2016-Q1,756878
Males,15-19,Australia,Quarterly,2016-Q2,755575
Males,15-19,Australia,Quarterly,2016-Q3,757748
Males,15-19,Australia,Quarterly,2016-Q4,757324
Males,15-19,Australia,Quarterly,2017-Q1,761412
Males,15-19,Australia,Quarterly,2017-Q2,759961
Males,15-19,Australia,Quarterly,2017-Q3,762138
Males,15-19,Australia,Quarterly,2017-Q4,760607
Males,15-19,Australia,Quarterly,2018-Q1,765319
Males,15-19,Australia,Quarterly,2018-Q2,764607
Males,15-19,Australia,Quarterly,2018-Q3,767596
Males,15-19,Australia,Quarterly,2018-Q4,767185
Males,15-19,Australia,Quarterly,2019-Q1,771695
Males,15-19,Australia,Quarterly,2019-Q2,769691
Males,15-19,Australia,Quarterly,2019-Q3,770814
Males,15-19,Australia,Quarterly,2019-Q4,767693
Males,15-19,Australia,Quarterly,2020-Q1,770337
Males,15-19,Australia,Quarterly,2020-Q2,766260
Males,15-19,Australia,Quarterly,2020-Q3,764084
Males,15-19,Australia,Quarterly,2020-Q4,762019
Males,15-19,Australia,Quarterly,2021-Q1,761933
Males,15-19,Australia,Quarterly,2021-Q2,761881
Males,15-19,Australia,Quarterly,2021-Q3,765589
Males,15-19,Australia,Quarterly,2021-Q4,771741
Males,15-19,Australia,Quarterly,2022-Q1,783497
Males,15-19,Australia,Quarterly,2022-Q2,790789
Males,15-19,Australia,Quarterly,2022-Q3,801496
Males,15-19,Australia,Quarterly,2022-Q4,809609
Males,15-19,Australia,Quarterly,2023-Q1,822768
Males,15-19,Australia,Quarterly,2023-Q2,830272
Males,15-19,Australia,Quarterly,2023-Q3,840174
Males,15-19,Australia,Quarterly,2023-Q4,844667
Females,15-19,Australia,Quarterly,2014-Q1,717950
Females,15-19,Australia,Quarterly,2014-Q2,716320
Females,15-19,Australia,Quarterly,2014-Q3,717940
Females,15-19,Australia,Quarterly,2014-Q4,716760
Females,15-19,Australia,Quarterly,2015-Q1,719294
Females,15-19,Australia,Quarterly,2015-Q2,717359
Females,15-19,Australia,Quarterly,2015-Q3,719196
Females,15-19,Australia,Quarterly,2015-Q4,718109
Females,15-19,Australia,Quarterly,2016-Q1,721200
Females,15-19,Australia,Quarterly,2016-Q2,719579
Females,15-19,Australia,Quarterly,2016-Q3,721799
Females,15-19,Australia,Quarterly,2016-Q4,720286
Females,15-19,Australia,Quarterly,2017-Q1,723675
Females,15-19,Australia,Quarterly,2017-Q2,721582
Females,15-19,Australia,Quarterly,2017-Q3,723754
Females,15-19,Australia,Quarterly,2017-Q4,721507
Females,15-19,Australia,Quarterly,2018-Q1,725228
Females,15-19,Australia,Quarterly,2018-Q2,723689
Females,15-19,Australia,Quarterly,2018-Q3,726094
Females,15-19,Australia,Quarterly,2018-Q4,724644
Females,15-19,Australia,Quarterly,2019-Q1,728083
Females,15-19,Australia,Quarterly,2019-Q2,725135
Females,15-19,Australia,Quarterly,2019-Q3,725993
Females,15-19,Australia,Quarterly,2019-Q4,722206
Females,15-19,Australia,Quarterly,2020-Q1,724020
Females,15-19,Australia,Quarterly,2020-Q2,720171
Females,15-19,Australia,Quarterly,2020-Q3,718379
Females,15-19,Australia,Quarterly,2020-Q4,716744
Females,15-19,Australia,Quarterly,2021-Q1,717042
Females,15-19,Australia,Quarterly,2021-Q2,717331
Females,15-19,Australia,Quarterly,2021-Q3,720592
Females,15-19,Australia,Quarterly,2021-Q4,725729
Females,15-19,Australia,Quarterly,2022-Q1,737090
Females,15-19,Australia,Quarterly,2022-Q2,743038
Females,15-19,Australia,Quarterly,2022-Q3,752777
Females,15-19,Australia,Quarterly,2022-Q4,759455
Females,15-19,Australia,Quarterly,2023-Q1,771893
Females,15-19,Australia,Quarterly,2023-Q2,778195
Females,15-19,Australia,Quarterly,2023-Q3,787746
Females,15-19,Australia,Quarterly,2023-Q4,792574
